Source: ACS 1-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Bronx Community Distric..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Manhattan Community Dis..., NYC-Staten Island Community..., NYC-Staten Island Community..., NYC-Staten Island Community..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Brooklyn Community Dist..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..., NYC-Queens Community Distri..."
"","Sex (SEX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Recoded detailed race code (RAC1P)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Recoded detailed race code (RAC1P)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","White alone","","","","","","","","","","","","","","","","","","","","Black or African American alone","","","","","","","","","","","","","","","","","","","","American Indian alone","","","","","","","","","","","","","","","","","","","","Alaska Native alone","","","","","","","","","","","","","","","","","","","","American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","","","","","","","","","","","","","","","","","","","","Asian alone","","","","","","","","","","","","","","","","","","","","Native Hawaiian and Other Pacific Islander alone","","","","","","","","","","","","","","","","","","","","Some other race alone","","","","","","","","","","","","","","","","","","","","Two or More Races","","","","","","","","","","","","","","","","","","","","White alone","","","","","","","","","","","","","","","","","","","","Black or African American alone","","","","","","","","","","","","","","","","","","","","American Indian alone","","","","","","","","","","","","","","","","","","","","Alaska Native alone","","","","","","","","","","","","","","","","","","","","American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","","","","","","","","","","","","","","","","","","","","Asian alone","","","","","","","","","","","","","","","","","","","","Native Hawaiian and Other Pacific Islander alone","","","","","","","","","","","","","","","","","","","","Some other race alone","","","","","","","","","","","","","","","","","","","","Two or More Races","","","","","","","","","","","","","","","","","","",""
"","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","","","Age recode (AGEP_RC3)","","","","","","","","","","","","","","","","","","",""
"Selected Geographies","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4","Between 5 and 9","Between 10 and 14","Between 15 and 19","Between 20 and 24","Between 25 and 29","Between 30 and 34","Between 35 and 39","Between 40 and 44","Between 45 and 49","Between 50 and 54","Between 55 and 59","Between 60 and 64","Between 65 and 69","Between 70 and 74","Between 75 and 79","Between 80 and 84","Between 85 and 89","Between 90 and 94","Between 95 and 99","Between 0 and 4"
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York","919","2289","634","1524","780","920","1538","1318","1434","2072","1278","1314","1685","1718","893","885","702","179","61","1730","393","100","469","1401","1713","494","570","587","923","602","982","247","695","137","214","375","0","0","0","547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","203","0","0","0","0","0","0","0","64","95","52","349","78","318","442","175","175","244","289","427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1632","304","1571","1055","2583","1285","1319","586","596","584","1254","220","849","380","0","0","196","0","0","1614","222","0","0","0","47","77","225","89","0","280","51","197","0","0","0","0","0","0","0","863","1427","2458","2067","1835","1119","1335","1565","1383","2275","1415","1501","2100","1439","2031","1308","1051","1353","274","345","1209","422","701","393","375","1019","1363","0","792","801","947","653","745","375","1031","292","117","0","331","138","1435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","328","51","95","54","91","395","204","206","68","510","355","111","0","60","0","0","0","0","0","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1316","1319","594","1338","1982","1366","1370","1499","1380","706","975","1338","591","356","66","766","361","0","0","1433","115","149","0","0","512","381","171","159","0","0","236","99","153","0","80","0","0","0","162","194"
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York","253","1103","459","1122","1041","556","394","1059","454","728","501","368","275","456","65","354","165","0","0","951","2370","3371","2591","2946","3223","2552","1661","1916","2600","2313","2579","2803","1771","1590","900","112","45","214","0","2060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124","110","0","62","122","115","61","0","191","311","286","0","0","45","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","380","0","0","0","0","641","468","344","182","688","499","476","0","556","247","289","336","453","202","58","40","0","0","0","1448","0","150","0","0","0","11","0","0","0","0","0","366","0","0","0","0","0","0","0","0","693","632","840","567","626","1076","741","716","948","660","323","572","375","499","682","697","131","0","37","744","2257","2444","3125","3611","4377","4091","2598","2629","4118","3908","3482","4493","2362","1031","1935","816","575","0","578","2738","320","0","0","0","311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","177","0","117","51","40","0","138","305","227","92","38","145","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","830","323","452","626","1147","825","928","1051","404","96","474","748","182","116","439","189","0","0","0","1110","0","0","0","427","0","580","545","0","60","104","0","610","311","65","78","0","0","0","0","491"
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York","789","1145","1591","1087","924","1393","1074","1751","954","1309","998","3008","1523","1036","932","1094","205","210","298","327","1596","961","1148","1774","1780","1614","1226","1437","443","515","349","2447","965","157","0","929","0","0","0","2396","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96","167","73","0","321","313","138","55","0","79","332","0","0","0","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1145","170","610","631","944","1357","299","837","611","1195","231","97","130","836","0","0","0","0","0","160","956","0","0","193","679","67","849","0","0","0","441","0","0","0","0","0","0","0","0","173","765","250","1209","646","1753","1040","967","1474","582","1904","2383","1775","1555","972","1490","681","859","47","967","832","956","1008","878","1250","1654","1783","1140","1551","1859","1493","1144","972","786","434","633","1007","608","89","239","1611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","159","156","0","0","409","582","0","0","0","239","388","63","141","129","107","0","0","0","244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1076","885","382","455","1453","549","1459","754","629","829","708","574","167","1530","838","1035","89","0","49","1290","380","0","0","0","0","465","227","0","341","0","0","0","1003","165","0","0","0","0","0","381"
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York","813","1448","890","790","1293","2032","1000","1524","1995","555","1928","1163","711","969","615","879","241","55","37","1323","1207","1184","1003","722","835","760","1324","1573","905","1431","872","591","593","299","91","99","129","88","0","447","134","0","0","79","0","96","0","0","166","0","0","0","0","0","0","139","0","0","0","0","0","0","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","0","0","0","0","0","280","241","205","50","169","608","369","577","173","69","155","212","572","150","0","0","55","0","0","196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","565","1081","1691","1341","1501","1625","1421","1021","372","2837","920","697","300","579","431","0","173","0","0","1158","45","43","384","132","259","158","151","181","238","63","194","167","127","390","0","0","0","0","0","1346","743","1724","846","470","1290","1193","1515","1255","819","928","1108","1470","1630","1162","699","1129","227","76","589","1349","506","1340","1067","290","1364","772","1688","904","1002","1405","1251","1883","583","623","430","367","94","178","87","194","118","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","276","161","312","118","166","1242","561","337","188","149","492","445","404","0","75","0","457","45","83","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1323","1137","924","1979","1842","2241","1162","1405","428","1425","1220","386","491","1089","336","136","0","0","0","668","329","443","157","224","96","291","126","558","0","124","165","87","0","0","0","120","251","0","0","524"
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York","1158","1248","1430","2209","966","1421","595","369","832","657","739","476","587","345","391","744","124","92","0","559","1247","3686","2295","3213","2965","1921","1742","1559","2052","2014","2482","1760","1299","395","666","302","0","119","0","3074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","0","67","76","133","0","0","0","0","0","131","0","124","46","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","0","0","0","0","0","0","0","2207","3371","2565","716","3196","1468","1733","1746","1289","642","1952","666","1261","260","251","0","269","0","0","2503","140","243","82","1312","1027","619","202","117","0","314","162","59","113","0","0","0","0","0","0","131","256","924","2348","2205","1227","1100","798","775","1840","1019","841","487","1209","915","411","412","310","0","0","1089","2791","2354","2867","2328","4654","2479","2329","2777","2336","2121","2436","1907","1213","1378","487","415","43","0","0","3022","0","0","0","0","0","0","0","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","0","0","0","112","0","73","0","0","0","331","0","0","0","0","0","0","0","0","0","189","0","63","77","0","0","0","120","0","221","0","118","45","69","0","0","0","0","0","73","0","0","0","0","0","18","0","0","0","0","139","0","0","0","0","0","0","0","0","0","1495","2079","3018","3310","2406","2588","2009","2524","1790","2472","2082","1766","641","505","843","735","205","0","199","2822","709","1120","315","177","0","87","598","194","55","149","457","150","395","34","0","0","0","0","0","419"
